x,y,height
9119.247501850137,45.0,1589.1091261531603
9171.209026077204,45.0,57.004717221056495
9223.17055030427,45.0,659.5745267274608
9275.132074531337,45.0,565.6576296563653
9327.093598758403,45.0,524.664591488216
9379.05512298547,45.0,627.0821078625258
9431.016647212537,45.0,554.4455701470424
9482.978171439603,45.0,553.5150859365137
9534.939695666668,45.0,687.7085617804723
9586.901219893734,45.0,704.8162379337641
9638.862744120801,45.0,501.0204673976171
9690.824268347867,45.0,359.7785912196841
9742.785792574934,45.0,280.01214756890136
9794.747316802,45.0,232.74196331795565
9846.708841029067,45.0,203.04853201574977
9898.670365256134,45.0,181.17662364485665
9950.631889483198,45.0,161.3621699893019
10002.593413710265,45.0,141.64101800527817
10054.554937937331,45.0,119.8554518269917
10106.516462164398,45.0,93.65778648866187
10158.477986391465,45.0,66.97358231362416
10210.439510618531,45.0,41.81155759407114
10262.401034845598,45.0,19.8960102400178
10314.362559072662,45.0,3.99477538880281
10366.324083299729,45.0,325.7294260920883
0.0,90.0,1723.9730951113563
51.96152422706631,90.0,2607.0623165996067
103.92304845413263,90.0,-2016.925311177909
155.88457268119893,90.0,-6190.6187126974055
207.84609690826525,90.0,-4348.426527220251
259.80762113533154,90.0,-2849.9914351663624
311.76914536239786,90.0,-2055.087390383681
363.7306695894642,90.0,-1520.7517743604844
415.6921938165305,90.0,-1007.431557653236
467.6537180435968,90.0,-577.122984557528
519.6152422706631,90.0,-328.121946859012
571.5767664977294,90.0,198.9875471973213
623.5382907247957,90.0,169.34334233255782
675.499814951862,90.0,307.5844429748678
727.4613391789284,90.0,301.73049656771184
779.4228634059947,90.0,456.8567446463815
831.384387633061,90.0,563.7173321131756
883.3459118601273,90.0,700.319303733638
935.3074360871937,90.0,827.113622262412
987.26896031426,90.0,936.553925831224
1039.2304845413262,90.0,1029.3858547889567
1091.1920087683925,90.0,1103.493691164133
1143.1535329954588,90.0,1159.6711639761666
1195.1150572225251,90.0,1199.2923975062085
1247.0765814495915,90.0,1224.0566264583215
1299.0381056766578,90.0,1235.1817191081
1350.999629903724,90.0,1236.1961322909765
1402.9611541307904,90.0,1227.6085682480705
1454.9226783578567,90.0,1210.689200504903
